Participant_id,Trial,Experiment_id,Start_time,Valence,Arousal,Dominance,Liking,Familiarity
2,26,13,31999938,9,4.99,9,9,
2,27,25,32765179,9,9,8.1,9,
2,28,39,33568406,1,1,2.97,1,
2,29,40,34353639,6.05,6.67,6.94,6.53,
2,30,9,35133041,9,7,9,7.18,
2,31,21,35891446,1,1,5.04,1,
2,32,22,36658023,5,1,4.97,5,
2,33,5,37446589,5.04,3,3.65,5.04,
2,34,1,38220492,9,5.03,7.13,6.62,
2,35,15,39004893,9,8.01,8.06,9,
2,36,36,39780463,5.04,1,7.09,1,
2,37,3,40549701,9,9,8.96,8.05,
2,38,34,41301779,4.87,1,6.99,1,
2,39,10,42088012,4.99,1,9,1,
2,40,16,42869078,6,5.05,8.05,6.14,
3,1,16,3542958,7.15,4.37,4.03,7.54,1
3,2,6,4350184,6.79,1.97,4.38,7.32,2
3,3,25,5184233,3.45,1.41,2.9,6.87,4
3,4,22,6023282,4.94,1,4.13,6.21,1
3,5,32,6820511,5.17,4.49,5.91,6.55,2
3,6,18,7611909,7.1,2.13,5.04,6.32,4
3,7,1,8391310,5.33,4.67,4.97,4.45,4
3,8,26,9217535,4.67,1.18,2.64,6.94,2
3,9,29,10013759,4.47,3.85,3.08,7.14,5
3,10,31,10800496,4.44,4.06,4.63,5,1
3,11,2,11618381,7.21,4.44,5.22,6.23,5
3,12,8,12450599,7.14,4.33,5.74,6.35,5
3,13,21,13229000,4.99,6.44,4.54,6.55,1
3,14,37,14093705,4.92,6.05,5.46,5.26,1
3,15,39,14859113,4.33,6.21,5.68,4.62,1
3,16,27,15659675,6.72,3.29,4.46,6.22,1
3,17,19,16435578,8.14,3.17,5.47,7.97,5
3,18,14,17208649,7.29,3.86,4.4,7.29,5
3,19,36,17981053,5.01,5.5,4.54,3.86,1
3,20,13,18777782,7.91,2.97,3.68,6.99,1
3,21,30,24625116,3.87,3.09,2.72,6.12,2
3,22,11,25398684,7.94,3.12,4.23,7.1,1
3,23,4,26204244,4.69,3.69,5,4.19,1
3,24,12,27014964,6.36,3.15,3.12,6.29,1
3,25,35,27772378,3.18,5.04,5.65,3.15,1
3,26,5,28596431,6.92,4.44,5.56,7.17,4
3,27,20,29406985,6.26,3.13,4.32,5.23,4
3,28,38,30184892,4.53,5.68,5.65,5.49,1
3,29,40,30966793,5.38,4.33,5.67,5.29,1
3,30,34,31753143,4.72,8.12,5.85,5.33,2
3,31,17,32546423,4.56,1.78,4.1,5.41,2
3,32,9,33319660,7.33,3.23,5.99,7.78,5
3,33,10,34117223,4.45,5.49,5.71,5.23,1
3,34,15,34987760,7.36,2.92,3.81,5.88,1
3,35,33,35755666,4.05,3.83,5.5,4.99,1
3,36,7,36564225,5.45,3.01,5.04,5.79,4
3,37,23,37355956,3.65,2.5,3.03,5.92,1
3,38,28,38128527,5.59,2.51,2.65,6.59,1
3,39,24,38912260,3.31,2.27,1.91,6.78,5
3,40,3,39678662,7.55,2.81,5.91,6.81,2
4,1,20,2644761,8.17,8.05,6.08,9,2
4,2,30,3488640,3.1,3.08,3.06,7.05,3
4,3,11,4328854,7.24,7.08,6.08,7.01,1
4,4,12,5135079,5.04,5.04,5.04,5.08,1
4,5,10,5903810,3.15,3.99,4.12,4.04,1
4,6,7,6675555,2.94,1.99,2.92,2.1,1
4,7,9,7513775,6.05,3.96,5.06,5.04,5
4,8,6,8303667,5.01,2.95,4.04,5.09,1
4,9,39,9127053,1.92,2.96,1.82,2.01,1
4,10,25,9948939,7,6.04,5.01,6.08,1
4,11,23,10702349,1.86,2.04,1,5.99,1
4,12,4,11473587,6.1,3.92,4.19,3.94,1
4,13,2,12234827,4.06,3.31,1.99,4.05,1
4,14,8,12999067,5.97,5.05,7.14,5.85,4
4,15,17,13749318,7.01,5.95,6.04,7.03,1
4,16,14,14503221,6.96,6.97,5.23,6.21,2
4,17,40,15250800,1.86,2.91,1.88,3,1
4,18,3,16030367,8.95,8.1,5.85,8.12,1
4,19,15,16786274,6.96,7.05,3.28,6.97,1
4,20,21,17542519,1.77,2.06,3.73,2.26,1
4,21,34,18369904,2.17,2.18,3.46,1.92,1
4,22,38,19116316,1.79,1.85,1.78,1.99,1
4,23,37,19866888,1,1,1,1,1
4,24,36,20641969,2.72,2.76,1.99,2.33,1
4,25,24,21397706,2.71,5.13,2.04,7.19,5
4,26,27,22198433,6.14,6.13,4.92,7.08,2
4,27,29,22965838,1.85,4.88,1.95,8.13,5
4,28,1,23734576,6.68,5.03,8.22,8.14,1
4,29,28,24528353,2.17,6.96,3.03,8.06,1
4,30,35,25301709,2.03,2.88,1.06,3.37,1
4,31,31,26068114,2.01,2.23,1,1.94,1
4,32,13,26833687,4.12,4.88,5.05,5.17,1
4,33,19,27598260,7.09,6.22,5.92,6.21,1
4,34,26,28362166,6,4.09,3.96,5.04,1
4,35,5,29111244,4.06,5.04,4.15,4.88,1
4,36,33,29866321,1,1.97,3.67,1.95,1
4,37,16,30639390,2.51,2.95,1.08,3.03,1
4,38,22,31405963,1.86,2.78,4.97,3.92,1
4,39,18,32166037,4.9,2.85,4.72,2.87,1
4,40,32,32940273,1.01,6.15,1.09,2.1,1
5,1,40,6890645,7,6.96,8,2.92,2
5,2,12,7766846,7.08,4.03,3.12,8,2
5,3,37,8646546,1.91,7.01,6.04,1,2
5,4,26,9524579,7.96,3,1,9,2
5,5,25,10365797,5.96,4.87,3.06,7.05,2
5,6,19,11196842,8.03,4.97,4.05,8.04,1
5,7,11,12016896,9,6,6.03,7.1,2
5,8,2,12841449,9,9,7.97,9,1
5,9,32,13634136,1.94,4.12,2.06,1.94,2
5,10,7,14507713,5.12,6.97,5.04,4.96,1
5,11,27,15305608,7,1.99,2,6.27,3
5,12,38,16128826,1,3.91,6.13,1.04,1
5,13,17,16973038,6.88,2.96,3.01,6.91,1
5,14,1,17780931,6.97,4.9,2.99,5.92,2
5,15,18,18642302,8.05,3.97,3.01,6.04,3
5,16,10,19502175,3.03,4,8.03,3.97,2
5,17,31,20315564,6.9,6.04,7.95,4.05,3
5,18,13,21118624,4.94,2.88,4,4.12,2
5,19,24,21900024,4,5.04,4.12,6.03,3
5,20,34,22708748,6.03,6.97,8.1,6,1
5,21,36,25538949,4.91,9,9,3.88,2
5,22,4,26372998,8.24,5.08,6.01,7.04,1
5,23,21,27148734,4,2.87,2.99,3.97,2
5,24,30,27953459,2.94,8.1,9,9,1
5,25,29,28780010,4.04,3.01,1.91,5.05,3
5,26,33,29576405,5.17,9,8.01,3.99,1
5,27,20,30409454,7,1.99,1,8.04,4
5,28,14,31208348,7.21,4.01,2.95,8.05,2
5,29,15,31986916,6.97,6.05,1,7.99,3
5,30,5,32819798,3.04,4.01,5.08,4.04,1
5,31,16,33610695,5.96,5.04,4.01,7.97,1
5,32,28,34391225,3.9,4.08,2.86,5.04,2
5,33,35,35183825,4.86,8.1,8.17,3.97,1
5,34,3,35958400,4.95,4.88,2.06,7.01,1
5,35,22,36755456,6.99,7.95,1.99,8.97,2
5,36,9,37588796,6.94,4.95,3.99,4.04,1
5,37,8,38387732,8.17,5.91,4.04,7.04,1
5,38,6,39169799,8.09,7.08,4.94,7.14,1
5,39,39,39936870,1,4.86,7.05,1,1
5,40,23,40720603,1,7.05,7,1.96,2
6,1,31,4863503,3.65,3.49,4.05,6.36,1
6,2,5,5941302,7.01,7.38,6.55,7.36,5
6,3,38,6807507,4.44,5.58,3.12,5.04,1
6,4,20,7827159,5.01,3.05,6.59,3.03,1
6,5,32,8705026,6.99,4.5,7.12,8.05,5
6,6,11,9549738,4.99,2.5,7.31,4.03,1
6,7,18,10445101,7.59,5.81,6.14,6.37,5
6,8,7,11258984,8.26,8.27,7.28,8,5
6,9,15,12117696,5.59,3.79,3.68,4.04,1
6,10,27,12985900,5.08,3.47,3.74,3.08,1
6,11,30,13875929,6.99,3.79,3.83,7.1,3
6,12,10,14773790,7.37,5.46,8.4,8.03,3
6,13,37,15608172,4.83,5.74,4.56,2.18,1
6,14,16,16467217,5.06,7.45,3.67,7.08,1
6,15,21,17284933,6.28,4.59,3.42,6.13,1
6,16,14,18134977,6.32,3.49,7.4,5.38,5
6,17,36,18938703,5.71,6.21,8.49,7.46,1
6,18,34,19755090,3.31,4.45,6.23,2.36,1
6,19,26,20572146,5.08,3.37,6.22,2.79,2
6,20,24,21348881,3.5,4.01,3.41,4.22,5
6,21,39,22761399,6.56,6.5,7.53,7.4,1
6,22,28,23552962,6.42,3.62,7.78,6.99,1
6,23,2,24331697,6.83,6.62,7.08,5.96,2
6,24,12,25151417,7.17,3.12,6.87,2.99,1
6,25,13,26006958,7.79,3.95,7.38,6.99,1
6,26,9,26811851,7.87,5.13,6.1,8.28,5
6,27,40,27646899,4.85,4.64,5.04,5.03,1
6,28,23,28469451,3.47,3.54,3.59,4.55,1
6,29,19,29268346,7.41,5.6,6.67,6.91,5
6,30,3,30120389,7.69,5.99,6.87,6.49,5
6,31,25,30941109,7.09,6.42,3.49,6.36,3
6,32,4,31727674,7.55,6.79,7.56,7.05,5
6,33,17,32531067,6.72,3.63,2.88,6.15,4
6,34,22,33318298,7.56,3.19,2.46,7.23,1
6,35,29,34089368,4.27,5.45,3.71,6.63,4
6,36,33,34917586,6.68,4.37,7.96,3.88,1
6,37,1,35687490,8.19,4.13,6.56,7.47,5
6,38,8,36555024,7.05,2.69,5,6.83,5
6,39,6,37428063,8.05,4.5,7.58,6.63,3
6,40,35,38227457,3.96,5.71,3.06,3.71,1
7,1,17,4279702,7.12,2.05,3,8.1,5
7,2,27,5147406,6.09,3.04,1.96,7.97,5
7,3,30,6025940,3.09,6.08,5.04,2.96,5
7,4,29,6882483,7.09,2.94,1,7,5
7,5,3,7729859,7.1,4.12,3.03,6.09,5
7,6,4,8561242,7.08,5.03,3,2.97,5
7,7,26,9382461,2,4.04,3.13,7.08,5
7,8,34,10215011,4.01,7.13,7.06,2,1
7,9,33,11045227,4.97,7.08,6.99,7,1
7,10,6,11880109,6.97,6.04,3,7.03,1
7,11,38,12694498,5.03,7.1,7.03,5.99,1
7,12,25,13523215,2.99,3.03,1.99,7.1,3
7,13,18,14333439,7.03,3.06,5.03,7.01,5
7,14,37,15162656,5.05,7.04,7.12,7.03,5
7,15,8,15972046,7,5.99,7.04,7.06,5
7,16,22,16773759,3.05,2.03,1,6.94,5
7,17,9,17608486,6.99,4,7.08,7.05,5
7,18,15,18392387,7.99,3.01,1,7.03,5
7,19,2,19170787,7.15,5.96,3.96,6.91,1
7,20,39,19988343,7.01,7.01,7.05,7.08,1
7,21,19,22129279,6.99,6.04,6.03,7,5
7,22,7,22925837,7.08,7.06,7.06,7.03,5
7,23,20,23710573,8.06,6.06,2.05,7.14,5
7,24,10,24542456,7.09,7.04,8.06,7.09,5
7,25,31,25332520,6.96,7.03,5.03,7.05,5
7,26,21,26107089,3.12,5.99,6.06,6.94,5
7,27,40,26877992,7.01,7.03,6.03,7.05,1
7,28,1,27667719,8.1,4.01,1.92,7.06,2
7,29,23,28459061,3.01,3.04,5.03,6.96,5
7,30,35,29289613,5.01,8.05,8.09,6.92,5
7,31,32,30108224,4.96,7.09,8.05,7.99,5
7,32,13,30939773,8,2.96,1.94,7.1,2
7,33,14,31736168,7.09,5.03,4.97,7.12,1
7,34,5,32565052,7.05,6.99,6.04,8.05,5
7,35,11,33357781,7.03,7.09,2.97,8.06,2
7,36,24,34158342,1.97,7.03,1,7.1,5
7,37,12,35012217,6.99,4.05,5,7.1,1
7,38,36,35822107,8.1,9,7,7.01,5
7,39,28,36608506,2.05,2,3.01,6.95,2
7,40,16,37450718,3.03,5.04,3.95,7.05,1
8,1,22,2205910,4.23,5.79,1.19,7.79,2
8,2,34,3082277,5.05,6.83,5.92,6.69,1
8,3,9,3981471,8.78,7.24,6.35,8.22,3
8,4,32,4785530,6.33,8.23,8.23,8.83,5
8,5,30,5600918,1.4,3.13,1.21,7.95,4
8,6,11,6417473,8.41,5,5.12,7.54,1
8,7,7,7230362,5.04,5.04,5.04,4.95,1
8,8,23,8013262,3.59,3.68,3.44,6.6,2
8,9,4,8839473,6.82,8.23,5,8.12,1
8,10,8,9619047,8.82,6.4,6.31,8.53,5
8,11,20,10420441,6.74,4.21,6.44,7.08,4
8,12,16,11209505,4.21,5.06,5,6.24,2
8,13,17,11995070,6.67,4.77,5.04,6.6,1
8,14,13,12783135,7.9,5.09,3.9,8.1,1
8,15,28,13600023,5.04,4.96,5.04,8.68,1
8,16,24,14368261,4.15,4.56,3.35,7.86,5
8,17,40,15153332,3.13,5.03,4.95,3.81,1
8,18,35,15967221,3.62,6.67,6.74,5.9,1
8,19,31,16738452,1.45,6.6,1.45,3.27,3
8,20,29,17519686,2.78,2.99,3.62,7.15,4
8,21,38,19006176,4.72,4.69,5.65,5.65,1
8,22,1,19820234,7.6,6.78,7.86,7.47,1
8,23,21,20616796,4.68,6.41,6.27,7.33,1
8,24,33,21443681,4.44,6.44,5.94,5.51,1
8,25,15,22282895,8.33,5.04,5.17,7.31,2
8,26,18,23100616,7.21,4.03,5.44,6.64,1
8,27,5,23907673,4.41,7.72,5.62,6.67,3
8,28,19,24748554,5.04,6.28,5.04,5.81,1
8,29,27,25519957,4.46,4.59,6.65,6.21,3
8,30,37,26311521,5.06,3.31,3.21,4.55,1
8,31,6,27123240,7.4,7.26,5.94,7.04,3
8,32,26,27940965,4.99,4.99,5.04,7.44,5
8,33,39,28765517,5.05,3.46,3.45,2.88,1
8,34,10,29553915,4.97,3.6,6.94,3.77,1
8,35,12,30334315,8.47,6.54,4.01,8.19,1
8,36,36,31098721,1.21,7.94,3.03,9,2
8,37,2,31921607,5.04,6.51,5.65,6.32,2
8,38,14,32684677,6.88,4.97,5.12,7.38,5
8,39,25,33462415,3.72,3.9,3.5,7.71,3
8,40,3,34230817,8.15,6.96,7.33,7.96,1
9,1,1,3045789,5.05,4.04,3.01,4.97,2
9,2,9,3903330,5.96,4.05,4.04,5.01,4
9,3,7,4717218,5.08,5.01,3.9,5.03,1
9,4,10,5566262,3.94,3.96,3.99,3.96,2
9,5,14,6406642,7,6.13,7.12,7.04,5
9,6,35,7243023,3.01,6.03,2.96,5.96,2
9,7,4,8076571,5.99,5.97,5.03,6.09,1
9,8,24,8867302,4.03,5.01,6.08,4.97,5
9,9,18,9731173,4.9,4.97,4.96,5.03,3
9,10,37,10521570,2.99,6.09,2.97,6.06,1
9,11,29,11339957,3.99,4.15,3,4.99,3
9,12,30,12169009,4.04,6.06,3.96,6.06,3
9,13,40,12966735,5.04,5.01,4.04,4.96,1
9,14,11,13772460,7.12,7.1,7.14,7,1
9,15,17,14564690,6.03,6.04,5.03,6.06,1
9,16,20,15337759,5.12,4.97,5,5.29,1
9,17,25,16131324,5.04,4.04,5.04,5.04,4
9,18,6,16924884,7.04,6.19,6.13,7.08,4
9,19,16,17705618,4.05,4,3.87,6.04,1
9,20,12,18524005,7.08,6.99,7.09,6.13,1
9,21,27,23202409,5.04,5.05,4.97,5.03,4
9,22,34,24033292,5.06,6.1,4.01,6.03,2
9,23,22,24852679,3.99,4,3.97,4.99,1
9,24,5,25611254,4.99,4.96,3.94,5.12,1
9,25,28,26390321,2.96,7.08,2.96,6.05,5
9,26,38,27224870,2.92,6.09,1.99,6.12,1
9,27,3,28090907,7.08,7.14,7.09,7.06,4
9,28,31,28866476,6.06,6.06,5.03,6.05,1
9,29,23,29678532,5,4.97,3.09,5.97,2
9,30,21,30505583,4.04,4.01,4.12,4,1
9,31,19,31282152,3.97,4.03,3.94,4.99,1
9,32,2,32042725,7.08,6.14,5,7.03,2
9,33,36,32808299,3.08,7.05,6.95,7.06,2
9,34,39,33597524,3.17,6.1,4.03,6.04,1
9,35,13,34378095,8.15,7.04,8.17,8.08,2
9,36,15,35157496,6.21,6.01,4.99,6.06,2
9,37,32,35921902,3.1,5.97,3.06,4.06,4
9,38,8,36721462,6.15,5,5.03,5.99,2
9,39,26,37496856,4.1,4.1,4.03,5.12,5
9,40,33,38269600,3.08,4.06,2.96,4.13,2
10,1,11,3567112,8.99,7.14,7.09,9,4
10,2,24,4389831,6.82,2.03,6.05,1.73,4
10,3,8,5219214,5.68,4.05,6.05,6.22,4
10,4,32,6035436,5.96,7.47,9,6.44,2
10,5,37,6855323,2.92,6.26,4.78,3.04,1
10,6,14,7671044,8.81,4.91,5.9,7.97,5
10,7,7,8465604,8.96,7.58,4.95,7.09,1
10,8,12,9252171,5.37,4.37,3.95,6.65,1
10,9,19,10076056,7.82,5.19,6.01,7.82,5
10,10,13,10885780,6.72,3.64,4.67,6.08,1
10,11,22,11667347,4.24,2.96,4.04,3.35,1
10,12,36,12462408,2.17,6.18,4.26,3.01,1
10,13,2,13268300,3.55,5.76,6.64,5.12,1
10,14,26,14099355,4.95,1.68,5.1,5.96,1
10,15,39,14913572,2.17,6.21,6.21,3.87,1
10,16,35,15716297,1.38,5.97,5.97,4.1,1
10,17,18,16539183,7.31,3.44,5.18,8.12,5
10,18,9,17351572,7.56,6.21,7.59,7.27,5
10,19,28,18120204,4.31,3.87,4.5,6.29,4
10,20,33,18913206,4.94,5.73,5.03,4.88,1
10,21,23,21234913,2.87,4.24,3.21,5.44,1
10,22,31,22002151,4.15,5.49,3.6,5.53,1
10,23,27,22817206,4.94,2.97,5.05,5.1,4
10,24,25,23591275,1.92,4.01,3.17,7.18,4
10,25,15,24378839,5.31,2.88,3.85,5.04,1
10,26,20,25214881,5.58,3.26,3.76,5.77,3
10,27,4,25995454,7.01,5.91,6.01,6.86,4
10,28,10,26775021,5.94,6,6.14,6.23,3
10,29,16,27548757,3.85,2.83,2.99,4.09,1
10,30,3,28326658,5.86,4.45,5.82,6.01,4
10,31,17,29100061,4.95,3.96,4.22,6.17,3
10,32,29,29875962,3.94,2.97,5.04,5.47,4
10,33,34,30672191,3.91,5.95,5.04,4.1,2
10,34,6,31477420,7.1,6,6.82,6.85,1
10,35,1,32247320,7.91,6.15,6.67,7.63,4
10,36,5,33018889,7.24,6.23,8.13,7.9,5
10,37,40,33781962,5.78,6.15,7.04,6.44,1
10,38,21,34561696,2.97,5.22,2.85,6,2
10,39,30,35355092,2.64,5.04,3.18,4.99,2
10,40,38,36132826,1.91,5.46,2.97,3.23,1
11,1,39,2311873,1,8.7,1.14,1.01,1
11,2,27,3225728,2.28,7.2,1.36,2.9,3
11,3,3,4241881,7.41,5.21,7.45,6.27,5
11,4,30,5286861,4.58,4.96,3.83,1,1
11,5,16,6297679,4.35,1.23,4.41,1.79,1
11,6,29,7634557,2.32,2.83,2.4,1.55,2
11,7,37,8551910,1.47,8.12,2.09,1.24,1
11,8,38,9463432,1.35,7.45,1.19,1.22,1
11,9,6,10319474,5.32,5.38,5.27,2.78,5
11,10,19,11340125,5.54,2.6,6.4,5.06,5
11,11,7,12282970,6.37,4.72,5.13,6.22,5
11,12,1,13362435,6.27,4.03,7.41,6.5,3
11,13,12,14263961,5.04,1.01,7.46,1.37,1
11,14,24,15204807,2.88,1.06,6.44,1.33,2
11,15,10,16132324,6.53,1.29,8.41,2.36,1
11,16,33,17057341,5.64,6.36,5.86,1.24,1
11,17,8,17965698,6.26,6.14,7.54,6.1,1
11,18,36,18840900,3.62,6.36,5.97,1.42,1
11,19,4,19761252,7.65,6.53,8.27,7.06,1
11,20,13,20661445,8.42,1.82,6.01,7.69,2
11,21,22,23113275,6.15,1.17,6.01,6.4,1
11,22,32,23993301,5.01,6.83,6.1,7.1,4
11,23,35,25019125,1.23,8.1,4.94,1.05,1
11,24,2,26059603,5.67,3.86,6.03,5.63,5
11,25,20,26996450,6,1.05,5.12,1,1
11,26,18,28000774,7.95,2.96,8.33,7.08,5
11,27,17,28932956,8.32,3.19,6.19,6.19,5
11,28,31,29887797,1.83,3.78,2.33,5.01,1
11,29,25,30879958,5.01,1.72,6.14,2.53,1
11,30,23,31807475,3.72,2.73,6.35,6.95,2
11,31,28,32824295,4.26,1.13,4.94,6.78,2
11,32,26,33693165,5.49,1.01,5.81,6.18,1
11,33,14,34687659,7.96,5.04,7.32,6.03,2
11,34,34,35563860,4.88,4.95,4.94,1.24,1
11,35,40,36475716,4.95,2.9,3.69,4.96,1
11,36,9,37436552,7.04,6.42,8.31,8.32,5
11,37,21,38318254,3.27,2.41,1.58,6.31,2
11,38,5,39238606,7.41,6.4,7.55,6.68,5
11,39,15,40160125,6.92,1.06,5.95,3.04,1
11,40,11,41141457,7.32,2.74,6.86,5.19,1
12,1,5,2369853,4.01,8.21,2.97,2.82,1
12,2,12,3435655,6.86,6.9,4.88,6.04,4
12,3,25,4283033,2.78,5.1,2.68,3.04,2
12,4,40,5147404,6.81,8.72,6.94,7.08,3
12,5,35,5988450,1.22,8.9,2.88,1,2
12,6,11,6819002,7.78,5.09,7.13,7.27,2
12,7,22,7656710,3.33,3.17,3.33,5.19,4
12,8,34,8516087,4.87,8.24,1.97,1,1
12,9,30,9363291,3.36,7.18,7.27,6.22,5
12,10,10,10205848,4.06,6.96,3.91,2.76,1
12,11,3,11029395,7.33,7.33,7.12,7.92,4
12,12,20,11821625,7.35,6.91,7.94,9,5
12,13,4,12642178,6.86,9,6.15,6.22,2
12,14,37,13454734,1,7.96,1.85,1.18,1
12,15,17,14251628,4.86,2.87,5.05,2.94,1
12,16,24,15062851,2.79,4.86,3.05,6.01,3
12,17,18,15895567,7.35,5.13,7.95,7.82,5
12,18,36,16691457,2.82,7.14,3.88,2.94,2
12,19,32,17503518,1.86,6.95,2.01,1.03,2
12,20,23,18279253,1.74,3.15,2.01,2.09,2
12,21,13,19857714,7.99,6.91,8.01,7.95,3
12,22,15,20631284,7.08,5.95,6.19,6.29,1
12,23,2,21396527,6.09,7.14,5.24,6.15,1
12,24,26,22174757,6.08,5.14,5.24,6.36,1
12,25,27,23005806,5.05,5.01,6.22,6.23,3
12,26,28,23848852,5.04,3.03,2.91,5.99,3
12,27,1,24649579,7.09,7.1,7.24,6.82,3
12,28,8,25413651,5.1,6.1,3.28,3.81,1
12,29,6,26211212,6.65,7.08,6.09,6.03,1
12,30,19,26988947,7.03,6.88,6.21,6.94,3
12,31,7,27748188,6.77,7.01,6.64,6.97,3
12,32,39,28547741,3.18,7.17,2.88,3.17,2
12,33,31,29367294,3.18,7.37,3.03,3.18,4
12,34,14,30202017,8.15,5.19,8.27,7.85,2
12,35,29,30962923,1.67,5.21,1.92,6.21,3
12,36,9,31749988,7.95,8.74,8.03,7.79,4
12,37,21,32529222,2.13,4.88,1.96,3.88,4
12,38,16,33314787,5.04,3.05,3.79,5.96,1
12,39,38,34154003,2.85,6.86,3.1,2.23,1
12,40,33,34927404,1.9,7.97,1.9,2.04,1
13,1,39,3132593,1.97,9,1.99,2.01,1
13,2,19,3999131,8.51,5.97,6.01,8.51,5
13,3,12,4864169,5.08,3.08,6.08,6.01,1
13,4,11,5766694,7.04,6.06,4.04,7.05,3
13,5,29,6627567,4.04,7.04,1.99,7.59,5
13,6,15,7505600,4.94,1.55,7.03,1.97,1
13,7,20,8357976,7.6,6.06,4.99,7.03,3
13,8,2,9219015,4.03,7.51,8.09,3.58,4
13,9,27,10068059,5.47,6.08,2,8.53,2
13,10,7,10911105,2.99,8.03,8.08,1,4
13,11,36,11735157,2.54,8.01,9,4.08,1
13,12,6,12555377,4.46,6.97,7.1,5,3
13,13,37,13411578,1,8.97,1,2.08,1
13,14,35,14226806,1,9,1,3.03,1
13,15,22,15023368,4.01,4.96,2.99,6.05,1
13,16,1,15852420,6.15,8.09,5.01,6.08,4
13,17,33,16666807,4.55,7.01,8.04,4.42,1
13,18,17,17494858,5.99,5.03,3.04,6.01,4
13,19,30,18316244,3.05,7.06,1.99,2.92,4
13,20,10,19126634,4.01,9,7.05,6.04,2
13,21,16,23612604,5,1,1,4.1,1
13,22,24,24430824,2.97,4.04,1.91,7.09,5
13,23,26,25244380,5.04,4,7.01,5.99,1
13,24,32,26068932,4.05,9,6.01,5.99,2
13,25,28,26908312,7.08,8.01,4.03,7.1,3
13,26,38,27756190,1,9,1,1,1
13,27,3,28534591,9,7.06,5.09,6.96,5
13,28,34,29331319,2.92,8.99,9,3.04,2
13,29,13,30139210,9,7.06,4.06,9,2
13,30,5,30961929,5.01,7.97,8.01,6.03,5
13,31,9,31747661,7.06,6.99,6.04,7.08,4
13,32,25,32538224,3.97,6.04,5.09,8.01,5
